generation,ms,time,fitness_all,fitness_semi
37,"[[13, 3, 14, 4, 1, 10, 7, 16, 12, 15, 2, 5, 8, 6, 11, 9], [8, 1, 1, 3, 1, 16, 16, 1, 1, 16, 2, 4, 1, 4, 1, 16]]",0.0030066967010498047,"[61.0, 57.0, 45.0, 44.0, 44.0, 43.0, 43.0, 41.0, 32.0, 29.0, 30.0, 29.0, 29.0, 29.0, 29.0, 29.0, 27.0, 24.0, 24.0, 24.0, 21.0, 21.0, 19.0, 19.0, 16.0, 14.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 6.0, 6.0, 0.0]","[44.0, 40.0, 28.0, 26.0, 24.0, 24.0, 24.0, 22.0, 16.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 12.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,"[[16, 1, 4, 13, 5, 8, 9, 12, 11, 10, 7, 6, 2, 15, 14, 3], [2, 2, 1, 16, 16, 16, 2, 3, 16, 2, 16, 1, 2, 1, 1, 16]]",0.004002094268798828,"[63.0, 51.0, 52.0, 50.0, 47.0, 39.0, 39.0, 35.0, 32.0, 32.0, 32.0, 31.0, 27.0, 26.0, 25.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 23.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 35.0, 32.0, 0.0]","[42.0, 36.0, 28.0, 26.0, 24.0, 16.0, 16.0, 14.0, 12.0, 12.0, 12.0, 12.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0]"
35,"[[6, 2, 11, 15, 16, 13, 4, 1, 9, 12, 5, 8, 3, 7, 14, 10], [16, 2, 1, 1, 8, 1, 3, 16, 1, 3, 1, 1, 16, 1, 16, 1]]",0.002994537353515625,"[59.0, 59.0, 37.0, 27.0, 26.0, 20.0, 19.0, 18.0, 16.0, 16.0, 18.0, 16.0, 16.0, 14.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 10.0, 8.0, 0.0]","[44.0, 34.0, 26.0, 16.0, 16.0, 12.0, 12.0, 12.0, 8.0, 8.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0]"
47,"[[16, 4, 13, 1, 5, 9, 8, 12, 2, 14, 3, 15, 11, 7, 10, 6], [16, 16, 16, 1, 2, 1, 1, 1, 1, 16, 1, 1, 16, 1, 1, 1]]",0.0020055770874023438,"[55.0, 47.0, 43.0, 39.0, 37.0, 38.0, 36.0, 34.0, 34.0, 32.0, 23.0, 23.0, 14.0, 13.0, 14.0, 14.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 13.0, 13.0, 11.0, 13.0, 14.0, 14.0, 14.0, 15.0, 14.0, 10.0, 10.0, 14.0, 14.0, 14.0, 15.0, 14.0, 13.0, 13.0, 13.0, 13.0, 11.0, 8.0, 8.0, 8.0, 0.0]","[44.0, 28.0, 24.0, 20.0, 18.0, 18.0, 16.0, 14.0, 14.0, 12.0, 10.0, 10.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0]"
19,"[[11, 5, 2, 16, 7, 14, 9, 4, 10, 3, 8, 13, 6, 12, 15, 1], [2, 1, 1, 1, 16, 2, 16, 16, 16, 1, 1, 1, 16, 4, 1, 16]]",0.00498652458190918,"[37.0, 37.0, 36.0, 28.0, 25.0, 21.0, 21.0, 22.0, 21.0, 21.0, 22.0, 21.0, 22.0, 12.0, 11.0, 11.0, 5.0, 6.0, 5.0, 0.0]","[32.0, 32.0, 32.0, 24.0, 22.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 10.0, 8.0, 8.0, 4.0, 4.0, 4.0, 0.0]"
73,"[[9, 14, 7, 4, 5, 11, 16, 2, 12, 6, 1, 15, 8, 3, 10, 13], [1, 16, 1, 1, 1, 1, 1, 1, 1, 2, 16, 2, 1, 16, 16, 1]]",0.003002166748046875,"[66.0, 65.0, 63.0, 57.0, 55.0, 53.0, 53.0, 52.0, 46.0, 45.0, 45.0, 43.0, 42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 42.0, 41.0, 42.0, 41.0, 42.0, 41.0, 42.0, 41.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 41.0, 41.0, 41.0, 42.0, 43.0, 42.0, 43.0, 42.0, 43.0, 42.0, 42.0, 42.0, 42.0, 41.0, 39.0, 39.0, 39.0, 39.0, 38.0, 39.0, 40.0, 28.0, 10.0, 10.0, 10.0, 10.0, 10.0, 2.0, 0.0]","[46.0, 44.0, 26.0, 20.0, 16.0, 14.0, 14.0, 14.0, 8.0, 8.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,"[[8, 11, 5, 10, 15, 6, 12, 1, 2, 3, 13, 16, 9, 14, 4, 7], [3, 16, 16, 16, 16, 16, 2, 1, 2, 1, 16, 16, 16, 2, 2, 16]]",0.0029964447021484375,"[67.0, 51.0, 48.0, 42.0, 42.0, 40.0, 37.0, 31.0, 27.0, 22.0, 22.0, 22.0, 20.0, 12.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[54.0, 38.0, 32.0, 24.0, 24.0, 22.0, 20.0, 14.0, 10.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,"[[9, 4, 14, 7, 15, 12, 6, 1, 2, 13, 3, 16, 8, 5, 11, 10], [1, 3, 16, 16, 16, 16, 1, 16, 16, 16, 1, 1, 3, 2, 2, 1]]",0.0019979476928710938,"[69.0, 63.0, 57.0, 57.0, 55.0, 55.0, 45.0, 39.0, 36.0, 36.0, 34.0, 34.0, 31.0, 10.0, 7.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[46.0, 40.0, 34.0, 26.0, 24.0, 24.0, 20.0, 18.0, 14.0, 14.0, 12.0, 12.0, 10.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,"[[14, 12, 5, 3, 9, 8, 11, 6, 4, 13, 2, 15, 7, 1, 16, 10], [1, 1, 16, 2, 16, 3, 16, 5, 16, 16, 16, 1, 1, 1, 2, 1]]",0.0026082992553710938,"[56.0, 38.0, 42.0, 33.0, 31.0, 29.0, 29.0, 29.0, 27.0, 29.0, 31.0, 32.0, 31.0, 35.0, 36.0, 37.0, 35.0, 34.0, 36.0, 35.0, 35.0, 33.0, 35.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 22.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[48.0, 30.0, 30.0, 12.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,"[[13, 11, 8, 2, 3, 5, 16, 10, 6, 4, 9, 15, 12, 14, 1, 7], [2, 1, 2, 2, 16, 16, 4, 16, 16, 16, 16, 2, 16, 2, 16, 16]]",0.0032901763916015625,"[48.0, 47.0, 41.0, 28.0, 27.0, 28.0, 23.0, 22.0, 19.0, 20.0, 20.0, 20.0, 20.0, 20.0, 18.0, 18.0, 4.0, 0.0]","[36.0, 32.0, 28.0, 18.0, 18.0, 14.0, 10.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 0.0, 0.0]"
