generation,ms,time
135,"[[6, 8, 25, 2, 24, 13, 21, 18, 10, 3, 23, 20, 1, 14, 7, 4, 11, 12, 22, 16, 19, 5, 9, 17, 15], [25, 27, 25, 25, 28, 24, 24, 25, 25, 25, 25, 26, 25, 22, 26, 25, 24, 25, 25, 25, 28, 26, 25, 19, 25]]",0.002997159957885742
47,"[[8, 16, 9, 25, 7, 17, 11, 13, 14, 10, 12, 5, 23, 21, 4, 22, 15, 1, 3, 24, 6, 18, 19, 2, 20], [25, 24, 25, 25, 25, 25, 25, 25, 23, 25, 25, 23, 26, 26, 25, 25, 24, 23, 25, 24, 24, 26, 24, 25, 25]]",0.005999088287353516
41,"[[20, 1, 10, 12, 22, 14, 5, 16, 6, 24, 2, 23, 18, 15, 7, 21, 11, 17, 13, 3, 8, 25, 4, 19, 9], [26, 25, 29, 25, 25, 26, 25, 25, 25, 25, 24, 28, 26, 25, 25, 25, 25, 24, 25, 24, 25, 25, 25, 27, 24]]",0.001984119415283203
119,"[[16, 21, 4, 13, 11, 7, 12, 22, 6, 18, 17, 3, 5, 15, 25, 1, 19, 20, 23, 2, 24, 10, 14, 8, 9], [25, 25, 25, 26, 25, 25, 25, 25, 27, 27, 25, 26, 20, 27, 24, 25, 25, 25, 25, 26, 24, 23, 25, 25, 24]]",0.002998828887939453
61,"[[7, 11, 18, 21, 8, 22, 1, 13, 12, 17, 15, 25, 20, 3, 2, 5, 9, 4, 23, 24, 16, 19, 10, 6, 14], [24, 25, 25, 25, 22, 25, 25, 25, 26, 25, 25, 25, 24, 25, 28, 24, 26, 25, 25, 25, 25, 26, 26, 24, 24]]",0.004004955291748047
30,"[[16, 15, 24, 7, 3, 12, 4, 1, 23, 25, 8, 19, 17, 11, 10, 20, 13, 21, 6, 5, 9, 14, 2, 18, 22], [25, 25, 25, 25, 25, 25, 25, 25, 24, 24, 24, 26, 25, 25, 25, 25, 25, 23, 26, 25, 25, 25, 25, 26, 26]]",0.006995439529418945
57,"[[22, 4, 3, 24, 12, 1, 25, 17, 8, 14, 9, 18, 6, 11, 21, 10, 16, 19, 7, 13, 23, 2, 20, 15, 5], [25, 25, 25, 25, 25, 26, 26, 25, 25, 26, 25, 25, 25, 26, 26, 25, 25, 25, 24, 25, 26, 25, 25, 25, 26]]",0.002995729446411133
99,"[[11, 19, 22, 9, 4, 3, 16, 5, 23, 18, 13, 14, 6, 24, 8, 21, 15, 12, 7, 10, 17, 1, 20, 2, 25], [23, 25, 30, 26, 25, 25, 25, 27, 25, 25, 25, 24, 25, 25, 25, 25, 25, 24, 25, 25, 26, 25, 25, 25, 25]]",0.0049991607666015625
48,"[[18, 25, 1, 17, 4, 8, 12, 2, 21, 22, 13, 10, 23, 5, 14, 20, 11, 15, 3, 16, 6, 7, 24, 19, 9], [25, 25, 26, 25, 25, 24, 25, 25, 27, 25, 26, 26, 25, 25, 25, 24, 25, 24, 26, 25, 25, 25, 25, 24, 25]]",0.005999326705932617
67,"[[15, 21, 6, 19, 4, 22, 8, 1, 18, 16, 17, 14, 24, 3, 7, 2, 10, 23, 5, 25, 9, 12, 11, 20, 13], [28, 27, 25, 24, 25, 25, 25, 25, 24, 25, 25, 25, 23, 26, 25, 25, 26, 25, 23, 26, 26, 24, 23, 25, 26]]",0.0030028820037841797
